               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11249,             0.11225,             0.04846,            0.072641,            0.068932,            0.039876,            0.012754,             0.10359,            0.069429,            0.040386,            0.070811,           0.0032432,           0.0032432
                   1,            0.090475,             0.11362,            0.032509,             0.60151,             0.26899,             0.19303,            0.066033,            0.085379,            0.087213,            0.024378,            0.040746,           0.0065115,           0.0065115
                   2,            0.083254,             0.10951,            0.025795,             0.62323,             0.30326,             0.34148,             0.12846,              0.0835,            0.072321,            0.019508,            0.010615,           0.0097137,           0.0097137
                   3,            0.076762,             0.10763,            0.021255,             0.47508,             0.41989,             0.31491,            0.096625,            0.072641,            0.067134,            0.015965,            0.009703,            0.009703,            0.009703
                   4,            0.068948,              0.1031,            0.017992,             0.50044,             0.39489,             0.32972,             0.12543,            0.071221,            0.067073,            0.016321,            0.009703,            0.009703,            0.009703
                   5,            0.065055,            0.098223,            0.015553,             0.55831,             0.53712,             0.44369,             0.17993,            0.062742,            0.058882,            0.011847,            0.009604,            0.009604,            0.009604
                   6,            0.059349,            0.097071,            0.014321,              0.6251,             0.58305,             0.54725,             0.26968,            0.064563,            0.060046,            0.010252,            0.009505,            0.009505,            0.009505
                   7,            0.057885,            0.094648,            0.013231,              0.7336,             0.63908,             0.65307,             0.29809,             0.05471,            0.055195,           0.0093617,            0.009406,            0.009406,            0.009406
                   8,            0.053955,            0.093703,            0.012246,             0.81399,             0.58125,             0.69683,             0.34105,            0.047032,            0.056642,           0.0096455,            0.009307,            0.009307,            0.009307
                   9,            0.051018,            0.091585,             0.01127,             0.61926,             0.76131,             0.72347,             0.37943,            0.049156,            0.055346,           0.0087814,            0.009208,            0.009208,            0.009208
                  10,            0.049673,            0.087255,            0.010804,             0.64099,             0.79811,             0.77444,             0.38831,            0.049216,            0.054063,           0.0077877,            0.009109,            0.009109,            0.009109
                  11,             0.04841,            0.090137,            0.010247,             0.82772,             0.80718,             0.83489,             0.39348,            0.047991,            0.054769,           0.0076351,             0.00901,             0.00901,             0.00901
                  12,            0.049407,             0.08819,           0.0098634,             0.85555,             0.79095,             0.83174,             0.48586,             0.04054,            0.053164,           0.0071888,            0.008911,            0.008911,            0.008911
                  13,            0.047772,            0.088065,           0.0092605,             0.85044,             0.79986,             0.84253,             0.40493,            0.047015,            0.055894,           0.0074186,            0.008812,            0.008812,            0.008812
                  14,            0.047633,            0.088468,           0.0091455,              0.8402,               0.812,             0.82775,             0.43679,            0.042765,            0.054647,           0.0066013,            0.008713,            0.008713,            0.008713
                  15,            0.045299,            0.084916,           0.0086602,             0.88535,             0.84678,             0.88251,             0.54313,            0.038754,            0.051907,           0.0062165,            0.008614,            0.008614,            0.008614
                  16,            0.044295,            0.084703,           0.0081965,             0.87991,             0.79367,             0.86734,             0.45004,            0.043055,            0.054434,           0.0062809,            0.008515,            0.008515,            0.008515
                  17,            0.044262,            0.087727,           0.0080196,             0.89015,             0.84143,             0.88589,             0.52534,            0.039191,            0.052158,           0.0056257,            0.008416,            0.008416,            0.008416
                  18,            0.043807,            0.088023,           0.0080781,             0.84449,             0.82278,             0.85351,             0.48118,            0.040979,            0.054879,               0.006,            0.008317,            0.008317,            0.008317
                  19,            0.043229,            0.084874,           0.0074837,             0.90016,             0.81419,             0.87916,             0.54059,            0.037569,            0.051926,           0.0053887,            0.008218,            0.008218,            0.008218
                  20,            0.042311,            0.084575,           0.0075309,             0.91493,             0.77841,             0.84313,             0.44237,            0.043146,            0.055423,           0.0061703,            0.008119,            0.008119,            0.008119
                  21,            0.041081,            0.082497,           0.0070591,             0.89955,             0.77253,             0.85047,             0.49972,            0.038364,            0.053593,           0.0054677,             0.00802,             0.00802,             0.00802
                  22,            0.040682,            0.082671,           0.0068983,             0.87613,             0.79738,             0.84541,             0.51991,            0.036545,            0.052268,           0.0053928,            0.007921,            0.007921,            0.007921
                  23,            0.040341,            0.082902,           0.0068825,             0.87259,             0.82975,              0.8654,             0.51532,             0.03753,            0.053009,           0.0052199,            0.007822,            0.007822,            0.007822
                  24,            0.041219,            0.083606,           0.0068687,              0.8967,             0.81156,             0.87847,             0.55459,             0.03502,            0.051181,           0.0050528,            0.007723,            0.007723,            0.007723
                  25,            0.040136,            0.079803,           0.0065154,             0.92797,             0.82854,             0.88996,             0.53489,            0.037129,            0.050972,           0.0051641,            0.007624,            0.007624,            0.007624
